id,name,city,street,lat,lon,latlon_precision,description,child_of,major_category,categories,citations,notes,founded,alt_address,,
19,Project Alberta,"Wendover, UT",,40.718611,-114.030833,1,"Weaponization of ""Gadget"" and training for delivery.  Founded by Oppenheimer to ensure the assembly and delivery of a functional nuclear weapon. Site code-named ""Kingman,"" ""Site K."" ",,1,research-design,Hewlett NW ch. 9 p. 319,"Site code-named Kingman, but abbreviated Project A?",1945-03,,,
20,Project Camel,"Inyokern, CA",,34.905556,-117.883611,1,"Development of detonators and testing of bomb shapes. Made extensive use of facilities and skilled faculty at the nearby California Institute of Technology. Working model bomb nicknamed ""Pumpkin.""",,1,research-design,Jones MAAB ch. 24 p. 501; MDH B8V3C2,,1945-01-08,,,
21,Alabama Ordnance Works,"Sylacuga, AL",,33.333333,-86.333333,1,"One of three heavy water production facilities in the US created by modifying existing munition manufacturing facilities, operated by DuPont",76,1,materials-other,Jones MAAB ch. 9 pp. 191-192,,1942-12,,,
22,Morgantown Ordnance Works,"Morgantown, WV",,39.60595,-79.97397,1,"One of three heavy water production facilities in the US created by modifying existing munition manufacturing facilities, operated by DuPont",76,1,materials-other,Jones MAAB ch. 9 pp. 191-193,,1942-01-30,,,
23,Wabash River Ordnance Works,"Wabash River, IN",,39.84993,-87.4201,1,"One of three heavy water production facilities in the US created by modifying existing munition manufacturing facilities, operated by DuPont",76,1,materials-other,Jones MAAB ch. 9 pp. 191-194,,1943-02,,,
24,Dayton Project,"Dayton, OH",,39.75706,-84.2218,1,Polonium purification and production by Monsanto,1,1,materials-other,MDH B8V3C4 p. 4.1,,1946-12-30,,,
25,Trinity test site,"Dayton, OH",,33.67729,-106.47561,1,Site of first nuclear test explosion,,1,delivery,,,1945-07-16,,,
26,Trinity ground zero,"Alamogordo, NM",,33.67729,-106.47561,1,Site of first nuclear test explosion,25,1,"research-design,delivery",,,,,,
27,McDonald Ranch House,"Alamogordo, NM",,33.65066,-106.46027,1,"Site of the assembly of the first plutonium core, and of rehearsal assemblies. ""A four room frame house 3,400 from the detonation point.""",25,1,delivery,MDH B8V2P1 p. XVIII-12,,1945-07-13,,,
28,Trinity base camp,"Alamogordo, NM",,33.55683,-106.53911,1,"Base camp for the Trinity test project, run by Lt. Bush",25,1,delivery,MDH B8V2P1 p. XVIII-3,,1944-12-20,,,
29,University of Rochester ,"Rochester, NY",,43.12396,-77.62318,1,Radiation health project directed by professor Stafford L. Warren,,2,research-health,Jones MAAB ch. 20 p. 411,,1943-04,,,
30,Mallinckrodt Chemical Works,"St. Louis, MO",,38.66197,-90.1938,1,"The primary manufacturer of brown and orange oxide, used in uranium enrichment, doubling the output of the other two manufacturers, DuPont and Linde. Produced roughly 4,200 tons over the course of the war, eventually establishing a plant for continual brown oxide extraction from pitchblende in collaboration with Yale University, completed in 1946. In spring 1943, the company built a plant to produce green salt (uranium tetrafluoride) for S-50 and K-25. Owned by Edward Mallinckrodt, a personal friend of Compton. Received the Army-Navy ""E"" Award for ""excellence in war production"" during an Oak Ridge ceremony on September 29, 1945.",,3,"materials-uranium,uranium-process","Jones MAAB ch. 3 p. 64, ch. 14 p. 315; Robinson ORS p. 135; Hewlett NW ch. 9 p. 292","also was designated large scale isolation of uranium metal following research by Spedding (Iowa State College) and Rodden (National Bureau of Standards), Reed HSMP pp. 178-9. IS THIS THE SAME THING AS THE OXIDES? IF so, then explain the oxides better.",1942-09,,,
31,Princeton University,"Princeton, NJ",,40.34871,-74.65933,1,Research into isotope separation (isotron method),,2,"research-enrichment, research-general",,,1941,,,
32,Manhattan Project Headquarters (Groves' Office),"Washington, DC",2201 C St NW,38.89448,-77.04834,2,"General Groves’ personal office on the 5th floor of the “New War Department Building” served as the headquarters of the Manhattan Project. The original rooms no longer exist after renovations to the building, which is now part of the Department of State.",,1,coordination-military,Reed HSMP ch. 4 p. 164,,,,,
33,Manhattan Engineer District office,"New York, NY",270 Broadway St,40.714263,-74.006843,2,"Original administrative office of Manhattan Engineer District, and the reason for its name. Marshall's headquarters were on the 18th floor of the building, which was the Corps of Engineers North Atlantic Division building, which also contained offices of a prominent contractor for the project, Stone & Webster. Additional offices of the Manhattan District were located in the Woolworth building, at 233 Broadway. Moved to Oak Ridge, TN, in August 1943.",,1,coordination-military,Reed HSMP ch. 4 p. 159,"The location is right, but should I put the day that Marshall made his HQ here or the day the district was created, June 18 1942?... Wait.. B5V01 of MDH says August 1942? That can't be right.",1942-06-29,,,
34,Madison Square Area Engineers Office,"New York, NY",,40.74513,-73.98669,1,Coordinated effort of procuring nuclear materials and identifying world stockpiles for all the projects of the Manhattan District.,,1,"materials-uranium,uranium-source,coordination-military",MDH B2V1 p. 8.1 ,,,,,
35,Columbia University,"New York, NY",,40.810064,-73.961533,1,"Early research on nuclear fission work took place in Pupin and Schermerhorn Halls, including Fermi's creation a Columbia pile. Their early experiments on the possibility of a nuclear chain reaction attracted the special attention of the Navy and the Naval Research Laboratory, who saw a atomic energy as a possible solution to submarine propulsion.",,2,"research-enrichment,research-pile,research-general",Hewlett NW ch. 2 p. 15,,1939-03-16,,,
36,Staten Island Warehouse,"Port Richmond, NY",2315-2471 Richmond Terrace,40.64018,-74.14017,1,"Edgar Sengier, a Belgian businessman, stored 1,250 tons of uranium ore in these warehouses, shipped there from the Congo by the African Metals Corporation to remove the ore pitchblende from German reach, subsidiary of the Union Miniere Company. It was later purchased by the Manhattan District.",,3,"materials-uranium,uranium-source",Hewlett NW ch. 2 p. 26,"was it 1,200 or 1,250 tons?",1940-06,,,
37,SAM Laboratories,"New York, NY",,40.81831,-73.95582,1,"Early research laboratory for gaseous diffusion research; part of Columbia University’s Special Alloy Materials (SAM) Laboratories, led by Harold Urey",35,2,"research-enrichment,research-pile",,,,,,
38,White House,"Washington, DC",1600 Pennsylvania Ave,38.89768,-77.0365,2,Site of meetings between Manhattan Project officials and Presidents Roosevelt and Truman,,1,coordination-civilian,,,,,,
39,Pentagon,"Arlington, VA",,38.87082,-77.05589,1,Site of meetings between Manhattan Project officials and War Department officials,,1,coordination-military,,,,,,
40,Consolidated Mining and Smelting Company Trail plant,"Trail, British Columbia, Canada",,49.10486,-117.72143,1,"The largest North American producer of electrolytic hydrogen at the time, convinced during a personal visit by Briggs to allow the use of their hydrogen supply and ammonia plants for the large-scale production of heavy water, which Hugh S. Taylor had been successfully researching at Princeton University.",,3,"production-heavywater,foreign",Hewlett NW ch. 3 pp. 66-67; Jones MAAB p. 47,,1942-06-25,,,
41,University of Virginia,"Charlottesville, VA",,38.03429,-78.5103,1,"Research into isotope separation (centrifuge method) primarily by Jesse Beams, who was appointed to the Science Advisory Sub-Committee to the Uranium Committee, established on October 21, 1939.",,2,research-enrichment,Jones MAAB ch. 1 p. 23; Reed HSMP ch. 4 pp. 124-5,,1940-05,,,
42,Argonne Site,"Red Gate Woods, IL",,41.7022,-87.91216,1,Site of CP-2 reactor and its burial location,,1,research-pile,,,,,,
43,Plot M,"Red Gate Woods, IL",,41.70728,-87.91054,1,Nuclear waste disposal site,42,1,"research-pile,waste",,,,,,
44,Carnegie Institute of Science,"Washington, DC",1530 p. Street NW,38.90942,-77.03597,1,"Headquarters of National Research Defense Committee, the Office of Scientific Research and Development, and site for early thermal diffusion research and other research.",,2,"coordination-research,coordination-civilian,research-enrichment",,OSRD letterhead with this address… not sure if Carnegie,1941,,,
45,Naval Research Laboratory,"Washington, DC",,38.82246,-77.01749,1,Research into isotope separation (thermal diffusion),,1,research-enrichment,Hewlett NW ch. 2 p. 15,"date of the meeting with Fermi, where naval research lab personnel were intrigued",1939-03-16,,,
46,Houdaille-Hershey Plant,"Decatur, IL",,39.84031,-88.9548,0,"The Houdaille-Hershey Corporation constructed this plant to produce nickel-plated pipes for the K-25 gaseous diffusion plant. Amid contention over the design of the barriers, an integral component of the gaseous diffusion plant, the new facility was soorn stripped and renovated to produce a different type of barrier than the old Norris-Adler design. By the time construction of K-25 was half done, the project still had no minimally satisfactory diffusion barriers. Received the Army-Navy ""E"" Award for ""excellence in war production"" during an Oak Ridge ceremony on September 29, 1945.",,3,"materials-other,production-enrichment","Rhodes MAB ch. 16 pp. 532-592, ch. 15 p. 494; Robinson ORS p. 135; Hewlett NW ch. 5 p. 136",5.1-5.2 of MDH B2V1 has a good explanation of why the barriers were so important.,1943-04-19,,,
47,Allis-Chalmers Manufacturing Company,"West Allis, WI",1126 South 70th St,43.02017,-87.99649,1,"Forged and maintained the coils at the Y-12 racetracks with the silver borrowed from the National Treasury's West Point Depository. Produced a total of 940 coils between February 1943 and August 1944. Also built a plant in Milwaukee to produce vacuum pumps for Y-12. Aided with constuction of K-25, built compressors to handle uranium hexafluoride, as well as motors.",,3,"materials-other,production-enrichment",Rhodes MAP ch. 15 p. 490; MDH B5V3 p. S11; MDH B5V4 p. 3.9-3.11; Hewlett NW ch. 5 p. 136,they had a new plant in Milwaukee that made pumps and stuff for K-25.. Would it be better to use that location?,1943-02,,,
48,Chrysler Corporation,"Detroit, MI",4000 St Jean,42.3847,-82.97812,1,"Developed the overall design specifics and production procedure for the K-25 diffusion units, including plans for locating or making needed facilities. Was the main producer of converter components for the K-25 gaseous diffusion project, repurposing its plant at Lynch Road in Detroit to do so. Also produced steel nickel-plated diffusion tanks, which had up to 10,000 gallon capacities. Received the Army-Navy ""E"" Award for ""excellence in war production"" during an Oak Ridge ceremony on September 29, 1945.",,3,production-enrichment,Jones MAAB ch. 7 p. 160; Reed HSMP ch. 5 p. 207; Robinson ORS p. 135; Hewlett NW ch. 5 p. 136; https://www.atomicheritage.org/article/manhattan-project-spotlight-chrysler-corporation; MDH B2V3 p. 8.9,materials-other = components or gear? Or should we have a separate thing for that,1943-04-02,"341 Massachusetts Ave, Detroit, MI.. And 42.408131, -83.012698 (lynch road plant)",,
49,Chalk River Laboratories,"Chalk River, Ontario, Canada",,46.05426,-77.36438,1,"The location of a heavy water pilot plant for the large-scale production of plutonium, enabled by the limited sharing of information between Canada, Great Britain, and the United States.",,1,"research-pile,foreign",,"were actually in talks in Spring 1944, but the limited exchange of information was not formally approved until september, but I don’t have a specific date for this. So, is it better to have specific date that is a bit late, or less specific date that",1944-09-19,,,
50,Eldorado Mine,"Port Radium, Canada",,66.085,-118.038,1,Uranium mining,,3,"materials-uranium,foreign,uranium-source",Hewlett NW ch. 4 p. 85,"possibly sooner, but this is when they flew out equipment to start mining in anticipation of the OSRD contract…",1942-04,,,
51,U.S. Vanadium Corporation,"Durango, CO",,37.265979,-107.884865,1,"One of the two companies in the United States to operate vanadium refineries, located on the Colorado Plateau, which produced as a byproduct the only domestic source of uranium oxide. The other company was the Vadanium Corporation of America.",139,3,"materials-uranium,uranium-source",,"operated a plant in durango, but also have seen references for Uravan; if there are actually three, need to correct this an Vanadium Corp of America, which I put the same description for; Is this a carbide subsidiary!?? ""Linde.. Began processing… sludges… from USVC, it's Carbide affiliate…""",,,,
52,Vanadium Corporation,"Monticello, UT",,37.85007,-109.32856,1,Uranium milling,,3,"materials-uranium,uranium-source",,,,,,
53,Montreal Laboratory,"Montreal, Quebec, Canada",,45.5073,-73.61465,1,"Heavy water reactor research, plutonium separation research",,1,"research-pile,foreign",,,,,,
54,Tinian Airfield,"Tinian, North Mariana Islands",,15.08338,145.63438,1,Forward position for assembly and launch of attacks against Japan,,1,"delivery,foreign",Jones MAAB ch. 26 p. 524,,1945-04,,,
55,Rice University,"Houston, TX",,29.716944,-95.402778,1,Contracted to do investigations of energy range of neutrons from the fissioning of U235 using cloud chambers.,,2,research-uranium,,,1942,,,
56,Dahlgren Proving Ground,"Dahlgren, VA",,38.325,-77.033333,1,A Navy-owned facility used during the Manhattan Project to research the aerodynamics of model bomb shells delivered from aircrafts.,,1,"research-design,delivery",Rhodes MAB ch. 14 p. 478,"might not be a comprehensive description, and could be worded better.",1943-08-13,,,
57,Standard Oil Development Company,"New York, NY",26 Broadway,40.7053251,-74.01294569,2,"Contracted to make heavy water pilot plant (1941), heavy water catalysts (1942), centrifuge work, and more. Also consulted on the treatment of oil in the race tracks at Y-12.",,3,"materials-heavywater,research-enrichment",,,1941,"Bayway, NJ",,
58,University of Michigan,"Ann Arbor, MI",,42.27804,-83.73822,1,"Did research on radio proximity fuzes and informers for Los Alamos, procured ""a number of pure chemicals"" for Metallurgical Laboratory work.",,2,,,,,,,
59,A. O. Smith Company,"Milwaukee, WI",3533 North 27th St.,43.081575,-87.948402,2,Provided pipes and fittings to HEW and heat exchangers (external coolers?) for K-25. Implemented a rigorous cleaning program at its factory to ensure that equipment going to K-25 to be conditioned against UF6 corrosion was spotlessly clean.,,3,"equipment-HEW,equipment-CEW",MDH B4V5P3 app. B-3; MDH B2V3 p. 4.11,,,,,
60,Iowa State University,"Ames, IA",,42.0266187,-93.6464654,1,"The site of Project Ames, which under the direction of Dr. Frank Spedding produced important basic knowledge of chemistry and metallurgy needed for the bomb project, including materials processing techniques, such as the creation of uranium metals from oxides.",,2,"research-uranium,research-general",MDH B1V4C11 pp. 11.2-11.4 ,could have been earlier? But this is when Frank Spedding was invited to Metallurgical Lab,1942-02,,,
61,University of Minnesota,"Minneapolis, MN",,44.97399,-93.2277285,1,First contracted to produce 5 micrograms of U-235 for $1000. Further contracted to look at mass spectrographs and spectrometers for U-235 (1940) and heavy water (1941-1942). Work by Alfred O. C. Nier. Did work relating to diffusion. ,,2,"research-enrichment,research-general",Hewlett NW ch. 2 p. 22,"inconsistency with dates here: Hewlett says that Nier had been ""convinced"" to produce small samples, but I think U of Minnesota's first contract for U235 was in 1941. Need to check this.",1941-04-18,,,
62,Harvard University,"Cambridge, MA",,42.3770029,-71.1166601,1,"Conducted various small-scale research, including at the Harvard Electron Accelerator. P.W. Bridgman conducted high-pressure experiments on plutonium metal for Los Alamos. Did research into thermal diffusion.",,2,"research-plutonium,research-enrichment",,,1941,,,
63,Massachusetts Institute of Technology,"Cambridge, MA",,42.36063,-71.09567,1,"Did experimental work on producing uranium metal in the spring of 1942 using a process involving melting and casting. Also studied the characteristics of beryllium metal and attempting to make a satisfactory beryllium-uranium alloy, and made beryllium oxide crucibles for the MED.",,2,research-uranium,,,,,,
64,Washington University in St. Louis,"St. Louis, MO",,38.6487895,-90.3107962,1,"Research, use of cyclotron",,2,,,,,,,
65,Indiana University,"Bloomington, IN",,39.1691355,-86.5149053,1,"Misc. research for Chicago Met Lab, ""Life of certain chemicals.""",,2,,,,,,,
66,Explosives Research Laboratory,"Bruceton, PA",,40.303889,-79.980833,1,Explosive lens fabrication and research,,1,research-design,,,,,,
67,Johns Hopkins University,"Baltimore, MD",,39.3299013,-76.6205177,1,"Research into production of fluorinated hydrocarbons, spontaneous fission.",,2,,,,1941,,,
68,International Nickel Company,"New York, NY","67 Wall St. New York, NY",38.41419,-82.37703,1,"Consulted the Manhattan District on obtaining high-grade nickel powder to use in barriers for K-25, recommending that the government fund new equipment for the company. Produced nickel powder and corrosion-resistant nickel-plated pipes for K-25 gaseous diffusion plant.",,3,"materials-other, equipment-CEW",Hewlett NW ch. 5 pp. 139-140,not sure if this should be equipment or supplier category… for pipes..,,"Huntington, WV",,
69,Stanford University,"Palo Alto, CA",,37.42747,-122.16972,1,Research by Felix Bloch. Contracted to do research into energy range of neutrons produced by fissioning of U235.,,2,research-uranium,,,,,,
70,Shinkolobwe mine,Belgian Congo,,-11.033333,26.583333,1,"A uranium mine, and the source of the 1,250 tons of 65% uranium pitchblende shipped to the Staten Island Warehouse. It was at one point flooded, forcing it to close. When the United States government could not convince the Union Miniere du Haut Katanga to reopen the mine, it used political force in collaboration with Britain to gain control of the mine.",,3,"materials-uranium,foreign,uranium-source","Rhodes MAB ch. 15, p. 427; Hewlett NW ch. 8 p. 285",fact check,,,,
71,Wreck of the USS Indianapolis,Pacific Ocean,,12.033333,134.8,1,"The USS Indianapolis delivered critical components of the atomic bomb to Tinian on July 26, 1945. It was sunk on July 30 while heading to Leyte. ",,1,"delivery,foreign",,,1945-07-30,,,
72,Fuller Lodge,"Los Alamos, NM",,35.88201,-106.30206,3,"Site of many a Los Alamos event during the war. Formerly the Los Alamos Ranch School headquarters, served as a hotel and the main dining hall for the Los Alamos project.",1,1,,MDH B8V1P3 app. E-13 ,,,,,
73,Technical Area,"Los Alamos, NM",,35.87983,-106.30375,1,The fenced-in area where most of the laboratory work was done at Los Alamos.,1,1,,,,,,,
74,Northwestern University,"Evanston, IL",,42.05646,-87.67527,1,"Contracted for “investigations of development and construction of continuous analytical apparatus” (heavy water), 1942.",,2,research-heavywater,,,,,,
75,Universal Oil Products Company,"Chicago, IL",310 Michigan Ave,41.87802,-87.62489,2,"“Investigations of nickel and other catalysts for promoting exchange reaction” (heavy water), 1942; nickel catalysts.",,3,"research-heavywater,materials-other",,,,,,
76,E.I. duPont Nemours & Co.,"Wilmington, DE",12062 DuPont Building,39.74616,-75.54757,1,"Major construction and development contractor. Prime contractor at Hanford Engineer Works. Designed, constructed, and operated the large plutonium-production plant at Hanford. Also designed and constructed Clinton Laboratories, a sub-area of Clinton Engineer Works operated by the Metallurgical Laboratory housing the X-10 Pile Project and related facilities. Also produced brown uranium oxide at a plant in Deepwater Point, New Jersey. Being an entirely novel project, DuPont negotiated that the Metallurgical Laboratory would review and approve the design, ultimately taking responsibility for potential inadequacies. The company claimed no patent rights and worked for free apart from a $1 fixed fee included as a formality in the contract.",,3,,MDH B4V2P2 pp. 2.1-2.3 ,,1942-11-12,,,
77,"Metal Hydrides, Inc.","Beverly, MA",,42.54052,-70.88893,1,"Did analytical work, and processed uranium salts into oxide. Was subcontracted by Stone & Webster as a materials supplier. Devised a method of isolating uranium salts that was not used because the powder it produced combusted upon touching the air.",,3,"materials-uranium,uranium-process",Reed HSMP ch. 5 p. 178,"mentioned that on this date, S&W had a meeting with govt. to talk about their supplier contracts, this one included. But not sure about the actual date of their first involvement.",1942-08-06,,,
78,Westinghouse Electric and Manufacturing Co.,"Bloomfield, NJ",,40.78137,-74.19592,1,Converted uranium salts into uranium metals. ,,3,"materials-uranium,uranium-process",,Looks like Westinghouse Lamp Division was the only branch located in Bloomfield,1942,,,
79,National Bureau of Standards,"Washington, DC",,38.94217,-77.06344,1,"Performed quality analysis for MED, coordinated research of pre-MED project, did work on the production of uranium compounds. Contributed to research on the isolation of uranium metal that was implemented by Mallinckrodt for large scale production.",,1,"coordination-research,research-other",,"received funds from NDRC in spring of this year, along with a bunch of private insitutions, but might have been involved before possibly",1941,,,
80,Brush Beryllium,"Cleveland, OH",3311 Perkins Ave,41.506188,-81.663988,2,"Did research on producing uranium metal, and produced beryllium for the project.",,3,"research-uranium,materials-other",,"Brush Laboratories Metal Plant? MDH-B7V01-Feed Materials_and_Special_Procurement.pdf.. Address for ""Brush Development Co."" which was in Cleveland so I'm assuming its related",,,,
81,Brown University,"Providence, RI",,41.82677,-71.40255,1,"Did research on the ""liquid phase conversion of uranium oxide to uranium tetrafluoride"" and isotope separation (electromagnetic method). Headed by Dr. Charles A. Kraus.",,2,research-enrichment,MDH B5V1 pp. 4.1-4.2 ,,1943-04,,,
82,Electro Metallurgical Co.,"Niagara Falls, NY",,43.0952,-79.00436,1,"Subsidary of Union Carbide and Carbon Corporation; produced uranium metal from uranium ore. Received the Army-Navy ""E"" Award for ""excellence in war production"" during an Oak Ridge ceremony on September 29, 1945.",139,3,"materials-uraniumm,uranium-process",Hewlett NW ch. 9 pp. 293-294; Robinson ORS p. 135,aka Electromet,1943-07,,,
83,Baker and Williams Warehouses,"New York, NY",527 W 20th St,40.746468,-74.006735,2,Uranium storage in Manhattan warehouses used by MED.,,1,"storage,materials-uranium",,,,,,
84,Joslyn Manufacturing & Supply Co.,"Fort Wayne, IN",,41.07023,-85.17067,1,Rolled uranium rods from billets for use in reactors.,,3,"materials-uranium,uranium-work",,,,"20 North Wacker Drive, Chicago, IL",,
85,Norton Co.,"Worcester, MA",1 New Bond Street,42.30589,-71.80455,1,"Manufactured refractory products from boron, beryllium, uranium, thorium, and magnesium oxide for the MED.",,3,materials-other,,,,,,
86,Harshaw Chemical Co.,"Cleveland, OH",1945 East 97th Street,41.44902,-81.68532,1,"The first large-scale supplier of uranium hexafluoride. Refined uranium oxides into green salt and uranium hexafluoride for MED (Madison Square Area), used to feed K-12. Also produced boron.",,3,"materials-uranium,materials-other,uranium-process",Hewlett NW ch. 3 p. 66; Robinson ORS p. 135,,1941,,,
87,C.H. Schnorr,"Springdale, PA",643 Railroad St.,40.53777,-79.78201,1,"Extruded uranium for Hanford pile project, and produced uranium slugs for MED contractors. ",,3,"materials-uranium,uranium-work",,,,,,
88,"Linde Air Products, Ceramics Plant","Tonawanda, NY",E. Park Dr. & Woodward Ave.,42.97666,-78.89361,1,"A supplier of feed materials for the Madison Square Area of the Manhattan District. In 1942, built a refinery in Tonawanda, New York to make uranium oxide from sludge obtained from the United States Vanadium Corporation. Processed both uranium and nickel compounds for MED. Milled uranium ores to black oxides. Produced lubricants and coolant fluorocarbons. Produced barrier materials. Further contracted in 1942 after satisfactory work on its first assignment, producing black oxide for OSRD. Received the Army-Navy ""E"" Award for ""excellence in war production"" during an Oak Ridge ceremony on September 29, 1945.",139,3,"materials-uranium,materials-other,uranium-process",Jones MAAB ch. 14 p. 314; Robinson ORS p. 135,"1942 or earlier. Believed to a subsidiary of Carbide… part of the ""carbide empire""??",,,,
89,Fansteel Metallurgical Corp.,"Chicago, IL",2200 Sheridan Rd,42.32095,-87.84483,1,"Sole producer and supplier of tantalum and columbium metals to the MED. Produced ""their standard items of equipment"" for Y-12, including tantalum evaporator units, under ""seemingly impossible time limits."" Provided beryllia compacts for the ""water boiler"" at Los Alamos.",,3,"materials-other,equipment-LA,equipment-CEW",MDH B5V3 p. 4.15 ,equipment-los alamos,,,,
90,DuPont Deepwater Works,"Deepwater, NJ",,39.68896,-75.50117,1,"Produced uranium products and conducted research on uranium hexafluoride. ""Blue Products Area"": produced uranium oxides from salts and scrap.",,3,"materials-uranium,research-uranium,uranium-process",,,,,,
91,The Sharples Corp,"Philadelphia, PA",2300 W. Westmoreland St.,40.005105,-75.168351,2,"Producer/broker of special chemicals to MED. Produced ""super centrifuges"" and other ""standard items of equipment"" for Y-12 on ""seemingly impossible time limits."" Also did research and testing on barrier materials for K-25.",,3,"materials-other,equipment-CEW,research-general",MDH B5V3 p. 4.15; MDH B2V3 p. 8.3,,,"Boston, MA",,
92,B & T Metals,"Columbus, OH",,39.95715,-83.01142,1,"Subcontractor of DuPont, extruded 50 tons of rods from uranium metal billets in 1943.",,3,"materials-uranium,uranium-work",,,,,,
93,Chapman Valve,"Indian Orchard, MA",203 Hampshire,42.15531,-72.49994,1,Machined extruded natural uranium rods and supplied hundreds of vacuum valves (for Y-12) and other products to MED.,,3,"materials-uranium,equipment-CEW,uranium-work",Hewlett NW ch. 5 p. 149,"this is the day they were roped into making vacuums for y-12 in a meeting with Groves. But they might have been contracted earlier for something… address is a little bit to the west of the coordinates you put in, but very close.. And honestly yur coords make more sense",1943-01-04,,,
94,"International Rare Metals Refinery, Inc.","Mount Kisco, NY",,41.21126,-73.72789,1,"Processed pitchblende to recover uranium, coordinated shipments of ores and sludges.",,3,"materials-uranium,uranium-source,procurement,uranium-recovery",,pitchblende.. or sludge?,,,,
